,ZIP,City,CountyName,RentPrice,LAT,LNG
0,22193,Woodbridge,Prince William County,2262.638888888889,38.644195,-77.352
1,22191,Woodbridge,Prince William County,2259.848814331573,38.622914,-77.262938
2,20002,Washington,District of Columbia,2479.333760120964,38.905026,-76.983607
3,20906,Silver Spring,Montgomery County,2037.7742296918768,39.087321,-77.057159
4,20011,Washington,District of Columbia,2377.8524236674143,38.952514,-77.022991
5,20878,Gaithersburg,Montgomery County,2414.246255660049,39.112821,-77.250504
6,20019,Washington,District of Columbia,2117.621212121212,38.891412,-76.943575
7,22407,Fredericksburg,Spotsylvania County,1964.940404040404,38.283474,-77.575684
8,20874,Germantown,Montgomery County,2096.061315496098,39.133056,-77.301828
9,20147,Ashburn,Loudoun County,2479.460854700855,39.041947,-77.47813
10,22192,Woodbridge,Prince William County,2268.5770275858,38.683699,-77.314673
11,22003,Annandale,Fairfax County,2461.781196581196,38.829817,-77.215318
12,22554,Stafford,Stafford County,2525.3809523809523,38.427352,-77.367672
13,22030,Fairfax,Fairfax County,2473.9147297420473,38.837138,-77.340466
14,20744,Fort Washington,Prince Georges County,1802.295238095238,38.758348,-76.983786
15,20020,Washington,District of Columbia,1966.3030303030305,38.860413,-76.978933
16,22204,Arlington,Arlington County,2287.650310559006,38.860791,-77.098972
17,20772,Upper Marlboro,Prince Georges County,2874.4,38.780274,-76.76699
18,20902,Silver Spring,Montgomery County,2303.997252747253,39.045249,-77.039264
19,20904,Silver Spring,Montgomery County,2036.3952380952376,39.066616,-76.980935
20,20783,Langley Park,Prince Georges County,1957.4166666666667,38.997067,-76.966783
21,20148,Ashburn,Loudoun County,2961.5427380952383,38.996109,-77.520849
22,20009,Washington,District of Columbia,2629.9585638699923,38.919144,-77.037381
23,20850,Rockville,Montgomery County,2578.3727009322247,39.091338,-77.182294
24,20852,North Bethesda,Montgomery County,2304.9530635106175,39.051991,-77.121931
25,20774,Upper Marlboro,Prince Georges County,2094.251559454191,38.874532,-76.774182
26,20110,Manassas,Manassas City,2117.25,38.747172,-77.484536
27,20171,Herndon,Fairfax County,2347.721518463322,38.923848,-77.396501
28,22304,Alexandria,Alexandria City,1969.336111111111,38.813169,-77.112139
29,20176,Leesburg,Loudoun County,2300.0488095238093,39.184706,-77.544111
30,20854,Potomac,Montgomery County,3867.071428571429,39.032772,-77.22083
31,20706,Lanham Seabrook,Prince Georges County,2053.3611111111113,38.96588,-76.851092
32,20910,Silver Spring,Montgomery County,2069.278306878307,39.002837,-77.036701
33,20001,Washington,District of Columbia,2763.5407088122606,38.910353,-77.017739
34,22015,Burke,Fairfax County,2905.3888888888887,38.787814,-77.278973
35,21702,Frederick,Frederick County,1971.3391812865495,39.479136,-77.442989
36,20164,Sterling,Loudoun County,2608.133333333333,39.013299,-77.395067
37,20785,Greater Landover,Prince Georges County,2123.3167913397797,38.918291,-76.881948
38,20170,Herndon,Fairfax County,2598.1190476190473,38.979842,-77.37975
39,20109,Manassas,Prince William County,2112.788515406163,38.793641,-77.531024
40,20120,Centreville,Fairfax County,2514.0148148148146,38.856401,-77.476371
41,20747,District Heights,Prince Georges County,1569.321212121212,38.854996,-76.883307
42,20175,Leesburg,Loudoun County,2433.2916666666665,39.064437,-77.603993
43,21701,Frederick,Frederick County,2047.8876262626263,39.443557,-77.332934
44,20740,College Park,Prince Georges County,2159.694444444444,39.002745,-76.931721
45,20748,Temple Hills,Prince Georges County,1644.6666666666667,38.814868,-76.933447
46,21703,Frederick,Frederick County,2343.560606060606,39.367031,-77.473482
47,20032,Washington,District of Columbia,1473.1151515151516,38.833719,-77.006591
48,22201,Arlington,Arlington County,2628.994715090337,38.886565,-77.095231
49,20817,Bethesda,Montgomery County,3179.703703703704,38.997272,-77.151816
50,20743,Capitol Heights,Prince Georges County,2018.4351851851852,38.88423,-76.893317
51,20877,Gaithersburg,Montgomery County,2015.580808080808,39.140749,-77.19206
52,20901,Silver Spring,Montgomery County,2365.2000000000003,39.021495,-77.009779
53,22079,Lorton,Fairfax County,2542.3375,38.674606,-77.209739
54,20152,Chantilly,Loudoun County,3177.1031746031745,38.919145,-77.502426
55,20155,Gainesville,Prince William County,2907.2361111111113,38.810114,-77.617789
56,20707,Laurel,Prince Georges County,2135.888888888889,39.099155,-76.879864
57,22033,Fairfax,Fairfax County,2339.4572368421054,38.875218,-77.384713
58,22042,Falls Church,Fairfax County,2731.8310023310023,38.865024,-77.197125
59,20111,Manassas,Prince William County,2181.220238095238,38.748968,-77.427873
60,22309,Mount Vernon,Fairfax County,2675.3333333333335,38.720336,-77.106155
61,22405,Fredericksburg,Stafford County,2293.055555555555,38.313604,-77.403928
62,22314,Alexandria,Alexandria City,2608.243916562889,38.806853,-77.056374
63,22031,Fairfax,Fairfax County,2440.0598223615466,38.858916,-77.260258
64,22306,Hybla Valley,Fairfax County,2163.657798342009,38.755738,-77.097779
65,20782,Hyattsville,Prince Georges County,1877.8416666666665,38.965751,-76.966463
66,20016,Washington,District of Columbia,2737.479532967033,38.93693,-77.090014
67,20010,Washington,District of Columbia,2198.1195175438593,38.933366,-77.030312
68,20603,Waldorf,Charles County,2380.3333333333335,38.63039,-76.976583
69,20165,Sterling,Loudoun County,2644.126984126984,39.05794,-77.392694
70,22207,Arlington,Arlington County,2951.871572871573,38.906665,-77.124238
71,22556,Stafford,Stafford County,2605.555555555555,38.468925,-77.515244
72,22032,Fairfax,Fairfax County,3236.1111111111113,38.819046,-77.290301
73,20003,Washington,District of Columbia,2738.1439201321555,38.881904,-76.990935
74,20705,Beltsville,Prince Georges County,1709.522222222222,39.049423,-76.900362
75,22153,Springfield,Fairfax County,3038.3650793650795,38.744969,-77.23564
76,20815,Chevy Chase,Montgomery County,2744.439393939394,38.983386,-77.079346
77,20886,Montgomery Village,Montgomery County,2246.3650793650795,39.188551,-77.205091
78,22101,McLean,Fairfax County,4442.261904761905,38.940203,-77.164882
79,22408,Fredericksburg,Spotsylvania County,2052.6472222222224,38.220271,-77.443653
80,20105,Aldie,Loudoun County,2983.0,38.95306,-77.60278
81,22310,Rose Hill,Fairfax County,2758.494805194805,38.783717,-77.122678
82,22630,Front Royal,Warren County,1495.6944444444443,38.930914,-78.17648
83,20191,Reston,Fairfax County,2354.8707664884137,38.934645,-77.351702
84,20721,Bowie,Prince Georges County,2691.7000000000003,38.915222,-76.785129
85,20814,Bethesda,Montgomery County,2946.8561420658193,39.004989,-77.10149
86,22315,Alexandria,Fairfax County,2819.574915824916,38.758337,-77.151192
87,20879,Gaithersburg,Montgomery County,2149.777777777778,39.168416,-77.171506
88,22152,Springfield,Fairfax County,3231.6,38.774493,-77.232029
89,22041,Falls Church,Fairfax County,2218.074074074074,38.849321,-77.141472
90,20007,Washington,District of Columbia,2775.3553041729515,38.914363,-77.079339
91,20745,Forest Heights,Prince Georges County,2021.1115384615384,38.806935,-76.995672
92,20601,Waldorf,Charles County,2097.1666666666665,38.613372,-76.851612
93,20008,Washington,District of Columbia,2269.189233954451,38.936238,-77.059981
94,20708,Laurel,Prince Georges County,1722.746153846154,39.057389,-76.825834
95,20746,Suitland-Silver Hill,Prince Georges County,2053.0753018910914,38.836403,-76.918265
96,22150,Springfield,Fairfax County,2436.060185185185,38.772863,-77.186523
97,22312,Lincolnia,Fairfax County,2303.5990476190477,38.815789,-77.154271
98,22406,Fredericksburg,Stafford County,1925.2619047619048,38.399767,-77.54731
99,22102,McLean,Fairfax County,2630.1338668800854,38.95095,-77.229544
100,20121,Centreville,Fairfax County,2481.5218253968255,38.811059,-77.463237
101,22202,Arlington,Arlington County,2704.354472171502,38.856868,-77.051492
102,22401,Fredericksburg,Fredericksburg City,1960.155982905983,38.299272,-77.486658
103,20784,Landover Hills,Prince Georges County,1587.9444444444443,38.950549,-76.89172
104,20715,Bowie,Prince Georges County,2572.6388888888887,38.989393,-76.741331
105,20876,Germantown,Montgomery County,2490.1666666666665,39.208384,-77.237152
106,22182,Vienna,Fairfax County,3269.861904761905,38.938421,-77.27552
107,22043,Falls Church,Fairfax County,2676.3607503607504,38.900858,-77.19588
108,20912,Takoma Park,Montgomery County,1588.3333333333333,38.981606,-77.001161
109,22203,Arlington,Arlington County,2851.6215090867263,38.873718,-77.117325
110,20770,Greenbelt,Prince Georges County,2240.1159211159215,39.002985,-76.879165
111,20151,Chantilly,Fairfax County,2844.3333333333335,38.896497,-77.445125
112,20737,East Riverdale,Prince Georges County,1834.6296296296296,38.964265,-76.913538
113,22180,Vienna,Fairfax County,2793.094871794872,38.895439,-77.256133
114,20903,Silver Spring,Montgomery County,1714.6666666666667,39.021433,-76.980774
115,20716,Bowie,Prince Georges County,2333.4871794871797,38.926428,-76.715028
116,20017,Washington,District of Columbia,2267.3536796536796,38.938188,-76.992126
117,20871,Clarksburg,Montgomery County,3113.3333333333335,39.261341,-77.282547
118,20190,Reston,Fairfax County,2533.540740740741,38.959322,-77.339298
119,25414,Charles Town,Jefferson County,2030.7333333333331,39.242415,-77.865749
120,20132,Purcellville,Loudoun County,3075.0,39.16721,-77.72057
121,22205,Arlington,Arlington County,3693.5416666666665,38.883501,-77.139537
122,22206,Arlington,Arlington County,2377.4459459459463,38.843917,-77.089408
123,22311,Alexandria,Alexandria City,1881.9314814814816,38.83362,-77.125462
124,22026,Dumfries,Prince William County,3007.5,38.560041,-77.296214
125,22046,Falls Church,Falls Church City,3042.057359307359,38.886334,-77.180975
126,22305,Alexandria,Alexandria City,2158.127314814815,38.836463,-77.062098
127,20018,Washington,District of Columbia,2249.002442002442,38.926576,-76.974446
128,20012,Washington,District of Columbia,2239.8571428571427,38.976873,-77.032609
129,22151,Springfield,Fairfax County,2880.666666666667,38.804093,-77.207804
130,20855,Derwood,Montgomery County,2731.3611111111113,39.133184,-77.134383
131,20166,Sterling,Loudoun County,2575.9555555555557,38.986273,-77.455778
132,20816,Bethesda,Montgomery County,3451.4166666666665,38.95695,-77.120006
133,20866,Burtonsville,Montgomery County,2443.888888888889,39.109275,-76.933973
134,22302,Arlington,Arlington County,2352.054200542005,38.827888,-77.083132
135,22553,Fredericksburg,Spotsylvania County,1826.7,38.271202,-77.649295
136,20015,Washington,District of Columbia,2787.0833333333335,38.966889,-77.058323
137,21704,Frederick,Frederick County,2587.4666666666667,39.354881,-77.3759
138,22181,Vienna,Fairfax County,2808.571428571429,38.906651,-77.293388
139,22303,Huntington,Fairfax County,2119.9636591478697,38.79438,-77.078837
140,22301,Alexandria,Alexandria City,2627.6762820512818,38.819895,-77.059577
141,22044,Falls Church,Fairfax County,2154.534188034188,38.862044,-77.154372
142,20005,Washington,District of Columbia,2605.212173290369,38.904674,-77.031578
143,21774,New Market,Frederick County,2465.7,39.410304,-77.268909
144,20024,Washington,District of Columbia,2531.53978702606,38.876122,-77.025374
145,20851,Rockville,Montgomery County,2683.733333333333,39.079082,-77.121858
146,22209,Arlington,Arlington County,2786.845412217834,38.895023,-77.075464
147,20781,Edmonston,Prince Georges County,2440.8333333333335,38.95286,-76.94629
148,20194,Reston,Fairfax County,2569.7453703703704,38.981059,-77.340775
149,20037,Washington,District of Columbia,2522.133333333333,38.898889,-77.055456
150,22060,Fort Belvoir,Fairfax County,2433.6666666666665,38.69344,-77.153084
151,20036,Washington,District of Columbia,2270.194444444444,38.907017,-77.041569
152,22213,Arlington,Arlington County,3327.3333333333335,38.895078,-77.162521
153,20004,Washington,District of Columbia,2687.0666666666666,38.894885,-77.028638
154,20006,Washington,District of Columbia,2352.1888888888884,38.898609,-77.041461
